crop,N,P,K,temperature,humidity,ph,rainfall,soil_moisture,light,yield
Potato,92.24882755418025,46.03086614490081,55.947721667489645,26.14581882133978,45.49862036999016,6.877746675897601,33.37086111390219,29.28634316492615,1476.3327094232793,Medium
Tomato,107.09560932988242,53.9496603856437,63.857239668491715,28.11891079080595,63.75697602531636,6.373687420594126,61.18528947223795,29.06710094238272,938.2169728028273,Medium
Potato,102.32824384460777,44.54844739902693,55.13505640937585,29.810364221551062,42.55477269959987,7.322634555704315,17.052412368729154,24.228353544043166,1923.3283058799998,Low
Cotton,89.86640192134954,52.23884722312368,51.55838526903001,30.24991644456552,85.82572014548904,6.020093960523316,39.10606075732408,31.84534570622405,1633.0421154764788,Low
Sugarcane,163.8915652077622,72.38727944856464,90.43727663210773,38.04685587557792,44.86708761285557,6.0879485872574355,4.522728891053807,41.14647149961218,1083.015934534223,High
Wheat,131.70373167051523,62.14197037403474,80.19283295806052,21.899979550563586,56.295042813724535,5.995800817189007,1.5636406741193931,47.52109624591402,1092.3222772633544,Medium
Potato,97.91061397356519,46.775496919186715,56.78866466021752,16.85111629335226,59.715615069935,5.847607178575389,86.31034258755935,60.51437824379126,996.3470372789739,Medium
Potato,89.46832512996986,42.60758675183866,56.6250516447884,37.18031856440817,65.97182088390721,5.858782737814905,71.3244787222995,69.45102816009833,1341.9157963542443,Medium
Potato,91.92562120291345,45.66578488097786,52.2385659514555,37.394089891837986,66.14536227501614,7.189826715929151,69.55160864261275,29.05654453638192,1406.626068916726,Medium
Potato,91.0537083565104,46.48742256754245,54.575677156576745,19.03053218135011,91.13337087884152,7.924361138693251,63.34037565104234,76.64493836220166,1705.5081153486717,Medium
Cotton,104.81320644999852,49.580615126326,48.45191413850699,23.907445951924373,89.87556428501648,6.316396748153906,64.76901205413623,20.033824504695527,1028.8532845012535,Medium
Maize,85.02556728321231,34.530825733249706,42.16925851589917,17.99663418334207,58.56883442719953,8.328729111737557,32.320293202075526,53.721390413318794,1554.5284383427668,Low
Rice,89.92258329994111,41.94524710882968,44.63574702443313,32.80676474811105,48.144781147436994,8.493221455146825,26.6781014275285,83.47997212912244,1116.5555199773469,Low
Potato,97.38877049716764,44.48194271052222,53.8505815847732,27.236319006939077,94.21077497608303,6.226165814534501,67.21355474058785,69.50527499636664,856.4563159885995,Medium
Potato,94.31354498160366,47.80264312938725,54.90919468942633,35.4107968304846,83.90898187415031,5.952152631896288,50.81987767407187,65.22783244140732,1787.5382072205798,Medium
Cotton,92.24668284466934,50.137125949612056,47.87539257254779,32.27344345256165,61.27044404652956,8.310189966210203,13.752094414599325,42.1693128182668,670.2102818608836,Medium
Potato,104.3615955866036,45.792747880128886,53.74876740953414,39.55420858323589,68.41497401990578,6.282487524491227,99.62536997579244,82.75225783377158,1337.4401804106465,Medium
Maize,81.99301377214137,33.306771286270404,46.63230544576274,36.40810729695231,62.247946991720454,8.16331029628288,85.09284487675127,80.8162746243616,1678.0109766709154,Medium
Cotton,90.75098531417885,52.33726248690107,48.02923640574863,27.140343839655664,64.6633278642436,8.483372387832462,17.592525267734537,21.174898635008855,1240.840572775152,Low
Cotton,106.7158410614839,48.53090470010495,48.08021073577219,28.563505763872485,67.9847742261318,7.408997854557686,25.046181860558413,58.341605091435355,1968.3392874125136,Medium
Maize,86.38345399665009,36.65436649807205,45.02600378375581,29.422597115658977,67.08847316003752,6.085728963394134,72.24521152615053,38.25020355865563,536.4739496471808,Medium
Rice,81.08374468917238,41.513731079185966,43.65444677273173,38.82679617559883,58.19126675687825,7.15829490050647,57.229246917083834,83.72155294154297,613.0193840091923,Medium
Tomato,115.22785584173158,54.315716574789235,63.14790676157705,28.920031561458753,91.48851257884294,7.588089390024919,57.0061170089365,26.316472095099954,1422.5108400487547,Medium
Sugarcane,143.47151222979454,68.49847631386466,87.94900026055969,36.21674487311686,47.51417322931158,7.626732990730356,55.281997690790774,39.273159337106904,1129.6712846694147,Medium
Wheat,122.57523843153024,67.70546298130944,81.14178102138634,32.54917193144259,83.76859681898556,8.1700160254527,33.79951568515358,44.41289192159636,640.9729097613035,High
Potato,88.99934131134918,47.40276088843538,55.29966743267919,21.2562840128966,42.135910393618275,6.4097965440196685,53.70824271966554,41.23233071674265,1741.803505681383,Medium
Cotton,102.74788172531333,47.45825638624792,54.778071914784924,30.935747537455164,79.93502335474639,8.427556238387604,51.630034830119534,40.992170741180985,1692.7792921530554,Medium
Potato,102.96490897129732,44.1321168019799,53.53461559739231,17.02182416542994,63.55729612170593,7.5654997022960995,5.819359550844361,79.48889229572123,1163.5283445966566,Low
Sugarcane,150.9192775720478,71.15579427019767,94.26928249601481,25.891822466947275,80.15216241090002,5.643148383074946,56.60372104940763,30.312019096761915,680.2469717084632,High
Tomato,108.81304019396666,58.74401136094461,64.9611157182009,26.836794269514144,49.526102845050836,6.801554947713919,39.85047343973734,60.03025637339407,1452.6404763014657,Medium
Wheat,120.00906805597339,61.51187056358331,83.86708525885999,30.396279109747844,91.91403825084164,8.332754791375502,86.71989335550037,61.366233833990734,1701.4239420235997,Medium
Cotton,107.93008408072676,47.524369002346305,54.266066749312536,38.53662021941313,61.235645079042584,8.383571691471744,90.53506419560637,32.72642376130427,604.0419513127482,Low
Potato,92.90745559394784,44.77716244683682,51.912549194616204,31.393065884518553,61.196814153106075,7.54484100691837,34.062456946424,36.9451443353337,1244.0561814401094,Medium
Wheat,124.76005546923348,62.90510049492474,80.72402782388494,35.08702325962122,55.51190149142185,6.032318631339169,75.06147516408583,72.44425805237216,1985.75771300101,Medium
Cotton,106.38832447894212,48.81685722232834,51.094194762340074,36.4603187960753,63.59467150562601,7.752613203374493,75.45428740846823,26.70305147433562,1853.82936001935,Medium
Sugarcane,137.71703427113303,69.8469358772969,88.82069428662567,16.337132418684224,92.71978232857592,8.041429432286769,35.49051904627206,82.19205753321967,1515.154856636455,Medium
Cotton,109.56158819919986,52.13045416509384,46.41590979972957,23.2166136342479,76.98851508423712,7.75712358831304,79.15790437258485,71.325179281646,636.8091545730356,Medium
Wheat,129.06833287939455,60.80916579023505,80.18014517396333,35.96201909409963,63.435031127581766,6.167729252713092,39.66516019542519,77.97329907049048,719.9072325380382,Medium
